Layer Title, Color, Specimen ID
Layer 1, Blue, Untitled

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,650 ms,2,1

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.59109,1552.3603125,100%
345.807512991978,1550.31234375,100%
346.023924626503,2832.34078125,100%
346.240324901463,3487.69078125,100%
346.456713814747,4127.47621875,100%
346.673091364243,4693.53478125,100%
346.889457547838,4678.3798125,100%
347.10581236342,4709.09934375,100%
347.322155808879,4605.472125,100%
347.5384878821,4556.320875,0%
347.754808580973,4593.1843125,0%
347.971117903386,4596.87065625,0%
348.187415847227,4481.7748125,0%
348.403702410383,4493.65303125,100%
348.619977590742,4445.32096875,100%
348.836241386194,4446.54975,73.0158730158712%
349.052493794625,4520.276625,18.8118811881189%
349.268734813924,4512.49434375,0%
349.484964441978,4583.76365625,3.36134453781417%
349.701182676677,4657.900125,37.1428571428582%
349.917389515907,4698.44990625,100%
350.133584957557,4626.771,100%
350.349768999515,4649.70825,100%
350.565941639668,4681.6565625,100%
350.782102875906,4682.06615625,90.0552486187841%
350.998252706115,4678.78940625,63.9593908629438%
351.214391128184,4623.08465625,17.8807947019865%
351.430518140002,4615.71196875,65.0943396226414%
351.646633739455,4557.1400625,21.9512195121929%
351.862737924432,4820.09925,100%
352.078830692821,4766.8520625,0%
352.29491204251,4924.54565625,0%
352.510981971387,5041.279875,100%
352.72704047734,5033.088,0%
352.943087558258,4705.413,100%
353.159123212027,4758.25059375,0%
353.375147436536,4769.309625,100%
353.591160229674,4693.1251875,100%
353.807161589328,4709.09934375,69.1358024691338%
354.023151513386,4851.228375,100%
354.239129999736,4908.16190625,70.1086956521747%
354.455097046266,4810.269,90.6976744186046%
354.671052650865,4768.4904375,58.5635359116024%
354.886996811419,4712.7856875,82.2660098522164%
355.102929525818,4620.2175,57.4257425742578%
355.31885079195,4544.0330625,74.3169398907113%
355.534760607701,4494.062625,51.4705882352945%
355.750658970961,4551.81534375,51.3368983957214%
355.966545879618,4661.9960625,59.4594594594599%
356.182421331558,4725.48309375,77.5862068965515%
356.398285324671,4763.16571875,70.9401709401705%
356.614137856845,4804.94428125,75.1295336787567%
356.829978925967,4820.09925,88.3116883116894%
357.045808529925,4715.24325,100%
357.261626666608,4644.793125,80.8510638297858%
357.477433333903,4675.1030625,86.000000000001%
357.693228529699,4701.3170625,90.4109589041085%
357.909012251883,4648.47946875,90.7514450867052%
358.124784498344,4741.04765625,100%
358.34054526697,4842.2173125,100%
358.556294555648,4764.3945,100%
358.772032362267,4820.09925,100%
358.987758684714,4757.0218125,100%
359.203473520878,4789.37971875,100%
359.419176868647,4773.4055625,100%
359.634868725908,4773.81515625,100%
359.85054909055,4746.372375,100%
360.066217960461,4866.38334375,100%
360.281875333528,4799.6195625,100%
360.497521207641,4755.3834375,100%
360.713155580686,4787.74134375,70.7423580786028%
360.928778450552,4765.2136875,82.3076923076917%
361.144389815127,4752.925875,94.5736434108521%
361.359989672298,4849.99959375,100%
361.575578019955,4853.27634375,100%
361.791154855984,4880.30953125,100%
362.006720178275,4821.32803125,100%
362.222273984714,4843.0365,100%
362.43781627319,4746.372375,100%
362.653347041591,4719.3391875,100%
362.868866287805,4723.02553125,41.8750000000006%
363.084374009721,4732.4461875,62.5641025641022%
363.299870205225,4714.01446875,53.023255813953%
363.515354872206,4686.98128125,100%
363.730828008553,4698.44990625,100%
363.946289612152,4680.42778125,100%
364.161739680893,4788.56053125,100%
364.377178212662,4752.925875,100%
364.592605205349,4799.20996875,67.9802955665017%
364.808020656841,4838.121375,65.9574468085116%
365.023424565027,4773.4055625,68.9655172413794%
365.238816927793,4744.734,62.2516556291393%
365.454197743029,4840.16934375,100%
365.669567008622,4810.269,100%
365.88492472246,4825.014375,0%
366.100270882432,4826.65275,100%
366.315605486425,4841.398125,0%
366.530928532327,4759.479375,100%
366.746240018027,4779.54946875,100%
366.961539941412,4690.25803125,100%
367.17682830037,4742.2764375,100%
367.39210509279,4648.47946875,100%
367.607370316559,4648.069875,100%
367.822623969566,4654.623375,100%
368.037866049698,4781.18784375,99.4475138121552%
368.253096554844,4804.94428125,98.2456140350879%
368.468315482891,4820.50884375,100%
368.683522831728,4853.27634375,100%
368.898718599242,4819.2800625,100%
369.113902783322,4737.77090625,100%
369.329075381855,4752.1066875,100%
369.544236392731,4725.48309375,100%
369.759385813835,4712.37609375,100%
369.974523643058,4712.37609375,100%
370.189649878286,4674.283875,100%
370.404764517408,4696.4019375,100%
370.619867558311,4700.08828125,100%
370.834958998885,4680.42778125,100%
371.050038837016,4756.202625,62.6016260162594%
371.265107070593,4817.23209375,47.2222222222222%
371.480163697503,4724.2543125,29.3577981651355%
371.695208715636,4720.56796875,56.1797752808975%
371.910242122878,4726.30228125,100%
372.125263917118,4667.730375,100%
372.340274096245,4623.49425,100%
372.555272658145,4600.14740625,100%
372.770259600706,4571.8854375,100%
372.985234921818,4562.46478125,28.9256198347102%
373.200198619368,4546.490625,49.7267759562838%
373.415150691244,4478.4980625,34.2105263157892%
373.630091135334,4493.2434375,25.5319148936148%
373.845019949526,4566.151125,49.3333333333309%
374.059937131708,4562.874375,100%
374.274842679768,4590.31715625,100%
374.489736591594,4679.60859375,100%
374.704618865074,4748.01075,100%
374.919489498096,4697.221125,100%
375.134348488549,4633.3245,100%
375.349195834319,4683.2949375,100%
375.564031533296,4716.47203125,100%
375.778855583367,4675.1030625,100%
375.993667982421,4777.91109375,100%
376.208468728344,4809.04021875,100%
376.423257819026,4778.3206875,100%
376.638035252354,4795.93321875,100%
376.852801026216,4760.2985625,74.3718592964824%
377.067555138501,4693.53478125,92.3076923076921%
377.282297587096,4766.032875,95.412844036697%
377.49702836989,4732.4461875,36.6197183098595%
377.711747484769,4629.63815625,81.25%
377.926454929624,4721.79675,100%
378.14115070234,4817.23209375,100%
378.355834800808,4830.33909375,100%
378.570507222913,4913.486625,100%
378.785167966545,4936.01428125,100%
378.999817029592,4855.73390625,92.7884615384611%
379.214454409941,4788.970125,81.4432989690726%
379.429080105481,4709.91853125,51.9650655021842%
379.643694114099,4674.69346875,32.9479768786122%
379.858296433684,4854.505125,54.6938775510206%
380.072887062124,4859.82984375,87.3239436619714%
380.287465997306,4865.1545625,100%
380.502033237118,4879.49034375,100%
380.71658877945,4813.54575,100%
380.931132622188,4650.5274375,0%
381.145664763221,4680.0181875,100%
381.360185200437,4699.26909375,100%
381.574693931723,4813.13615625,100%
381.789190954968,4870.47928125,100%
382.00367626806,4817.23209375,100%
382.218149868887,4823.78559375,100%
382.432611755336,4792.246875,100%
382.647061925297,4676.7414375,100%
382.861500376656,4642.74515625,100%
383.075927107303,4731.627,100%
383.290342115124,4694.7635625,98.6547085201805%
383.504745398008,4764.80409375,100%
383.719136953843,4751.2875,100%
383.933516780517,4752.51628125,100%
384.147884875918,4713.604875,100%
384.362241237934,4773.4055625,100%
384.576585864453,4738.9996875,100%
384.790918753363,4729.988625,93.0909090909092%
385.005239902552,4697.221125,100%
385.219549309909,4808.22103125,81.6326530612252%
385.43384697332,4754.56425,71.8592964824125%
385.648132890675,4714.4240625,100%
385.86240705986,4845.4940625,100%
386.076669478765,4878.2615625,100%
386.290920145277,4782.82621875,100%
386.505159057285,4821.32803125,100%
386.719386212675,4796.3428125,100%
386.933601609337,4687.80046875,79.9999999999995%
387.147805245158,4725.8926875,52.7659574468095%
387.361997118027,4733.265375,100%
387.576177225831,4734.90375,71.3286713286711%
387.790345566458,4713.604875,72.5868725868731%
388.004502137796,4744.734,100%
388.218646937734,4684.114125,100%
388.432779964159,4747.1915625,100%
388.64690121496,4705.00340625,100%
388.861010688024,4754.15465625,100%
389.07510838124,4740.22846875,100%
389.289194292495,4738.59009375,100%
389.503268419677,4670.1879375,100%
389.717330760675,4717.29121875,100%
389.931381313377,4736.542125,100%
390.14542007567,4753.7450625,100%
390.359447045443,4877.03278125,100%
390.573462220584,4882.3575,100%
390.78746559898,4835.25421875,100%
391.001457178519,4747.1915625,81.4960629921258%
391.215436957091,4746.372375,100%
391.429404932582,4643.56434375,100%
391.64336110288,4553.45371875,91.1504424778765%
391.857305465875,4535.022,80.6122448979594%
392.071238019453,4569.427875,79.7297297297288%
392.285158761503,4513.723125,71.904761904761%
392.499067689913,4528.05890625,63.7404580152671%
392.71296480257,4565.74153125,76.6519823788547%
392.926850097364,4595.641875,96.0591133004927%
393.140723572181,4609.5680625,100%
393.35458522491,4646.4315,91.5887850467297%
393.568435053439,4675.1030625,100%
393.782273055656,4781.5974375,100%
393.996099229449,4790.19890625,100%
394.209913572706,4822.14721875,100%
394.423716083314,4909.3906875,100%
394.637506759163,4903.656375,96.7532467532466%
394.85128559814,4824.60478125,70.4761904761916%
395.065052598133,4852.86675,57.1428571428561%
395.27880775703,4800.02915625,43.8016528925633%
395.492551072719,4700.08828125,1.7391304347831%
395.706282543088,4650.5274375,58.6466165413538%
395.920002166025,4645.6123125,44.3089430894302%
396.133709939418,4636.19165625,66.8246445497626%
396.347405861155,4732.4461875,52.5547445255473%
