Layer Title, Color, Specimen ID
Layer 1, Blue, Untitled

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,650 ms,2,1

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.59109,1566.69609375,65.1162790697674%
345.807512991978,1583.07984375,74.468085106383%
346.023924626503,2926.54734375,96.2962962962911%
346.240324901463,3631.04859375,0%
346.456713814747,4281.8930625,0%
346.673091364243,4845.4940625,100%
346.889457547838,4806.58265625,100%
347.10581236342,4800.02915625,100%
347.322155808879,4652.57540625,88.0000000000014%
347.5384878821,4600.557,51.5625000000022%
347.754808580973,4663.22484375,49.4623655913995%
347.971117903386,4705.00340625,89.1566265060251%
348.187415847227,4620.2175,49.4736842105279%
348.403702410383,4628.81896875,100%
348.619977590742,4585.40203125,10.0000000000004%
348.836241386194,4596.05146875,16.2162162162171%
349.052493794625,4673.87428125,20.8333333333314%
349.268734813924,4659.94809375,41.4634146341452%
349.484964441978,4740.22846875,13.461538461544%
349.701182676677,4793.88525,0%
349.917389515907,4818.87046875,0%
350.133584957557,4700.497875,0%
350.349768999515,4690.25803125,0%
350.565941639668,4729.1694375,0%
350.782102875906,4752.1066875,0%
350.998252706115,4748.8299375,0%
351.214391128184,4722.6159375,0%
351.430518140002,4718.11040625,0%
351.646633739455,4683.2949375,100%
351.862737924432,5006.874,35.185185185185%
352.078830692821,4965.50503125,100%
352.29491204251,5117.87390625,100%
352.510981971387,5248.94390625,100%
352.72704047734,5228.46421875,77.9411764705882%
352.943087558258,4850.4091875,76.1467889908252%
353.159123212027,4886.86303125,50.5102040816328%
353.375147436536,4916.35378125,56.7010309278351%
353.591160229674,4802.077125,0%
353.807161589328,4829.9295,100%
354.023151513386,4939.700625,0%
354.239129999736,5014.65628125,100%
354.455097046266,4893.826125,100%
354.671052650865,4890.13978125,100%
354.886996811419,4816.0033125,0%
355.102929525818,4762.756125,0%
355.31885079195,4687.80046875,74.2268041237114%
355.534760607701,4649.29865625,52.1276595744681%
355.750658970961,4715.24325,87.9781420765029%
355.966545879618,4830.7486875,86.3414634146355%
356.182421331558,4899.15084375,83.1632653061218%
356.398285324671,4903.656375,64.8484848484846%
356.614137856845,4962.637875,97.6190476190469%
356.829978925967,4966.32421875,0%
357.045808529925,4853.27634375,0%
357.261626666608,4756.61221875,0%
357.477433333903,4796.3428125,0%
357.693228529699,4819.2800625,0%
357.909012251883,4798.39078125,75.1445086705214%
358.124784498344,4854.505125,29.8076923076931%
358.34054526697,4940.92940625,6.79012345678993%
358.556294555648,4862.28740625,41.9540229885049%
358.772032362267,4925.36484375,14.0186915887835%
358.987758684714,4825.8335625,0%
359.203473520878,4883.995875,0%
359.419176868647,4863.92578125,0%
359.634868725908,4863.92578125,0%
359.85054909055,4836.89259375,5.12820512820644%
360.066217960461,4956.084375,0%
360.281875333528,4910.61946875,43.5643564356436%
360.497521207641,4887.68221875,18.2857142857129%
360.713155580686,4940.5198125,1.39860139860025%
360.928778450552,4892.18775,0%
361.144389815127,4870.0696875,0%
361.359989672298,4986.80390625,0%
361.575578019955,4985.98471875,0%
361.791154855984,4986.3943125,0%
362.006720178275,4933.147125,34.8547717842329%
362.222273984714,4953.21721875,39.3822393822397%
362.43781627319,4839.35015625,0%
362.653347041591,4822.5568125,0%
362.868866287805,4852.45715625,0%
363.084374009721,4863.5161875,0%
363.299870205225,4868.02171875,20.0000000000025%
363.515354872206,4826.24315625,100%
363.730828008553,4846.31325,100%
363.946289612152,4835.25421875,100%
364.161739680893,4927.4128125,79.012345679011%
364.377178212662,4902.42759375,76.7441860465134%
364.592605205349,4949.12128125,46.099290780142%
364.808020656841,4987.62309375,18.2352941176488%
365.023424565027,4897.102875,0%
365.238816927793,4876.21359375,4.67289719626195%
365.454197743029,4949.94046875,0%
365.669567008622,4908.98109375,0%
365.88492472246,4894.23571875,0%
366.100270882432,4919.63053125,0%
366.315605486425,4918.81134375,0%
366.530928532327,4846.72284375,0%
366.746240018027,4892.18775,42.0289855072482%
366.961539941412,4814.3649375,17.3913043478303%
367.17682830037,4845.4940625,93.1034482758602%
367.39210509279,4764.3945,100%
367.607370316559,4777.91109375,42.5531914893586%
367.822623969566,4779.9590625,0%
368.037866049698,4903.24678125,0%
368.253096554844,4934.37590625,25.5319148936189%
368.468315482891,4938.8814375,4.3478260869624%
368.683522831728,4953.6268125,0%
368.898718599242,4911.84825,0%
369.113902783322,4850.4091875,0%
369.329075381855,4863.5161875,18.6440677966121%
369.544236392731,4838.9405625,0%
369.759385813835,4816.8225,9.15032679738663%
369.974523643058,4801.66753125,0%
370.189649878286,4760.70815625,8.98203592814296%
370.404764517408,4777.5015,0%
370.619867558311,4775.863125,0%
370.834958998885,4763.5753125,0%
371.050038837016,4853.27634375,0%
371.265107070593,4913.89621875,0%
371.480163697503,4815.184125,0%
371.695208715636,4819.2800625,0%
371.910242122878,4820.50884375,4.76190476190338%
372.125263917118,4780.36865625,95.180722891565%
372.340274096245,4729.988625,100%
372.555272658145,4725.0735,62.3655913978499%
372.770259600706,4704.5938125,38.3333333333347%
372.985234921818,4705.82259375,0%
373.200198619368,4688.61965625,0%
373.415150691244,4620.62709375,0%
373.630091135334,4643.15475,4.10958904109556%
373.845019949526,4707.8705625,0%
374.059937131708,4696.4019375,0%
374.274842679768,4715.24325,0%
374.489736591594,4815.59371875,18.1818181818184%
374.704618865074,4876.21359375,32.2869955156959%
374.919489498096,4846.72284375,66.1870503597121%
375.134348488549,4790.6085,55.9859154929578%
375.349195834319,4807.8114375,54.4401544401537%
375.564031533296,4838.53096875,70.9677419354831%
375.778855583367,4768.90003125,33.3333333333339%
375.993667982421,4877.03278125,0%
376.208468728344,4903.24678125,0%
376.423257819026,4883.1766875,0%
376.638035252354,4906.1139375,0%
376.852801026216,4904.88515625,0%
377.067555138501,4802.8963125,2.34375000000148%
377.282297587096,4876.6231875,53.9772727272732%
377.49702836989,4879.08075,72.0000000000003%
377.711747484769,4742.2764375,43.0555555555567%
377.926454929624,4819.2800625,37.7245508982031%
378.14115070234,4925.36484375,0%
378.355834800808,4906.933125,0%
378.570507222913,4977.79284375,0%
378.785167966545,5014.65628125,0%
378.999817029592,4927.82240625,0%
379.214454409941,4893.41653125,0%
379.429080105481,4849.59,28.2208588957048%
379.643694114099,4815.59371875,27.7027027027023%
379.858296433684,4992.128625,31.7829457364343%
380.072887062124,4993.767,30.5676855895197%
380.287465997306,4955.2651875,11.4754098360651%
380.502033237118,4987.62309375,0%
380.71658877945,4883.1766875,0%
380.931132622188,4738.1805,100%
381.145664763221,4786.92215625,0%
381.360185200437,4809.04021875,0%
381.574693931723,4911.84825,0%
381.789190954968,4998.27253125,0%
382.00367626806,4930.27996875,4.14201183431873%
382.218149868887,4915.9441875,0%
382.432611755336,4885.22465625,5.19480519480518%
382.647061925297,4753.7450625,0%
382.861500376656,4705.413,0%
383.075927107303,4825.8335625,100%
383.290342115124,4800.84834375,100%
383.504745398008,4872.52725,0%
383.719136953843,4847.1324375,0%
383.933516780517,4854.09553125,78.4946236559134%
384.147884875918,4774.22475,31.2499999999989%
384.362241237934,4820.09925,0%
384.576585864453,4807.8114375,9.76744186046624%
384.790918753363,4844.26528125,35.2631578947376%
385.005239902552,4819.2800625,40.7582938388628%
385.219549309909,4965.50503125,28.3422459893038%
385.43384697332,4915.53459375,14.2307692307692%
385.648132890675,4850.81878125,0%
385.86240705986,4965.50503125,0%
386.076669478765,4994.99578125,0%
386.290920145277,4896.69328125,0%
386.505159057285,4947.0733125,0%
386.719386212675,4925.36484375,0%
386.933601609337,4789.7893125,0%
387.147805245158,4839.35015625,0%
387.361997118027,4816.8225,0%
387.576177225831,4829.1103125,0%
387.790345566458,4823.78559375,0%
388.004502137796,4844.26528125,0%
388.218646937734,4766.8520625,0%
388.432779964159,4828.70071875,0%
388.64690121496,4766.8520625,0%
388.861010688024,4786.5125625,0%
389.07510838124,4794.7044375,0%
389.289194292495,4781.18784375,0%
389.503268419677,4704.18421875,0%
389.717330760675,4759.06978125,0%
389.931381313377,4786.5125625,0%
390.14542007567,4814.77453125,0%
390.359447045443,4958.95153125,0%
390.573462220584,4990.49025,0%
390.78746559898,4954.85559375,0%
391.001457178519,4885.63425,0%
391.215436957091,4861.46821875,0%
391.429404932582,4741.45725,0%
391.64336110288,4643.56434375,0%
391.857305465875,4618.98871875,0%
392.071238019453,4653.39459375,5.40540540540681%
392.285158761503,4614.4831875,15.9624413145534%
392.499067689913,4638.239625,22.9965156794419%
392.71296480257,4670.59753125,20.2572347266883%
392.926850097364,4692.306,11.5755627009642%
393.140723572181,4700.90746875,2.0746887966806%
393.35458522491,4727.12146875,0%
393.568435053439,4761.52734375,0%
393.782273055656,4859.01065625,10.6227106227107%
393.996099229449,4864.335375,0%
394.209913572706,4932.73753125,4.38247011952092%
394.423716083314,5017.93303125,12.669683257919%
394.637506759163,4993.767,0%
394.85128559814,4908.5715,0%
395.065052598133,4962.22828125,0%
395.27880775703,4866.7929375,0%
395.492551072719,4794.7044375,0%
395.706282543088,4732.4461875,0%
