Layer Title, Color, Specimen ID
Layer 1, Blue, Untitled

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,650 ms,2,1

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.59109,1361.89921875,26.3157894736842%
345.807512991978,1302.508125,100%
346.023924626503,2574.29671875,0%
346.240324901463,3175.58034375,47.1698113207561%
346.456713814747,3762.93778125,0%
346.673091364243,4299.9151875,15.2709359605903%
346.889457547838,4270.83403125,19.3749999999991%
347.10581236342,4283.5314375,12.2448979591846%
347.322155808879,4166.79721875,1.70940170940217%
347.5384878821,4188.5056875,1.76211453744541%
347.754808580973,4217.9964375,0%
347.971117903386,4245.8488125,0%
348.187415847227,4102.90059375,0%
348.403702410383,4158.19575,0%
348.619977590742,4073.00025,0%
348.836241386194,4093.07034375,0%
349.052493794625,4157.78615625,0%
349.268734813924,4215.94846875,0%
349.484964441978,4267.55728125,17.1428571428557%
349.701182676677,4335.14025,0%
349.917389515907,4330.63471875,100%
350.133584957557,4280.2546875,100%
350.349768999515,4302.78234375,77.9874213836481%
350.565941639668,4366.269375,68.5483870967744%
350.782102875906,4400.26565625,54.7325102880655%
350.998252706115,4437.12909375,36.8932038834947%
351.214391128184,4364.22140625,18.5393258426963%
351.430518140002,4342.10334375,64.1025641025655%
351.646633739455,4293.3616875,54.098360655737%
351.862737924432,4487.09953125,56.9037656903769%
352.078830692821,4414.19184375,74.869109947645%
352.29491204251,4567.7895,72.2891566265076%
352.510981971387,4686.16209375,30.0751879699247%
352.72704047734,4639.0588125,26.190476190478%
352.943087558258,4399.44646875,42.1052631578965%
353.159123212027,4464.98146875,48.2014388489199%
353.375147436536,4442.04421875,46.0317460317476%
353.591160229674,4383.88190625,100%
353.807161589328,4422.7933125,100%
354.023151513386,4504.7120625,100%
354.239129999736,4542.3946875,0%
354.455097046266,4499.38734375,100%
354.671052650865,4442.86340625,100%
354.886996811419,4374.46125,53.9823008849544%
355.102929525818,4301.5535625,8.46153846153836%
355.31885079195,4232.7418125,0%
355.534760607701,4179.08503125,0%
355.750658970961,4228.23628125,100%
355.966545879618,4340.055375,100%
356.182421331558,4401.4944375,100%
356.398285324671,4438.357875,0%
356.614137856845,4494.062625,0%
356.829978925967,4512.08475,91.5254237288131%
357.045808529925,4426.47965625,100%
357.261626666608,4388.3874375,100%
357.477433333903,4421.1549375,100%
357.693228529699,4458.42796875,100%
357.909012251883,4413.78225,100%
358.124784498344,4465.80065625,91.4728682170528%
358.34054526697,4524.78215625,63.3720930232556%
358.556294555648,4441.22503125,70.0483091787436%
358.772032362267,4439.99625,32.163742690059%
358.987758684714,4387.15865625,43.2835820895517%
359.203473520878,4440.40584375,18.7134502923977%
359.419176868647,4413.78225,0%
359.634868725908,4427.29884375,0%
359.85054909055,4396.98890625,31.6901408450718%
360.066217960461,4507.169625,46.7289719626154%
360.281875333528,4443.273,76.1904761904752%
360.497521207641,4430.57559375,100%
360.713155580686,4449.41690625,41.2844036697249%
360.928778450552,4427.7084375,100%
361.144389815127,4395.760125,47.0588235294141%
361.359989672298,4488.73790625,93.7499999999959%
361.575578019955,4473.17334375,0%
361.791154855984,4499.38734375,100%
362.006720178275,4503.892875,89.7959183673507%
362.222273984714,4520.276625,51.0638297872354%
362.43781627319,4459.65675,62.376237623763%
362.653347041591,4426.88925,76.2962962962964%
362.868866287805,4428.11803125,64.6153846153863%
363.084374009721,4394.12175,40.4411764705882%
363.299870205225,4354.39115625,38.8429752066118%
363.515354872206,4243.80084375,7.76699029126224%
363.730828008553,4276.56834375,28.723404255319%
363.946289612152,4270.83403125,0%
364.161739680893,4387.15865625,27.0270270270263%
364.377178212662,4379.78596875,8.87096774193697%
364.592605205349,4462.1143125,53.5714285714285%
364.808020656841,4489.1475,37.3626373626381%
365.023424565027,4436.7195,100%
365.238816927793,4404.36159375,32.8947368421046%
365.454197743029,4483.82278125,37.0967741935465%
365.669567008622,4478.08846875,0%
365.88492472246,4451.464875,0%
366.100270882432,4460.4759375,17.6470588235294%
366.315605486425,4435.9003125,4.46428571428587%
366.530928532327,4352.75278125,4.86111111111169%
366.746240018027,4353.9815625,30.8080808080796%
366.961539941412,4304.8303125,14.6892655367234%
367.17682830037,4309.7454375,0%
367.39210509279,4256.49825,0%
367.607370316559,4282.71225,1.22699386502829%
367.822623969566,4299.9151875,0%
368.037866049698,4400.26565625,0%
368.253096554844,4439.99625,0%
368.468315482891,4433.03315625,0%
368.683522831728,4445.32096875,100%
368.898718599242,4396.16971875,100%
369.113902783322,4341.69375,100%
369.329075381855,4354.80075,100%
369.544236392731,4333.09228125,100%
369.759385813835,4359.715875,100%
369.974523643058,4388.79703125,100%
370.189649878286,4379.78596875,100%
370.404764517408,4346.19928125,7.84313725490384%
370.619867558311,4372.822875,26.7441860465121%
370.834958998885,4330.225125,0%
371.050038837016,4413.78225,34.6153846153845%
371.265107070593,4441.22503125,100%
371.480163697503,4423.6125,100%
371.695208715636,4399.44646875,100%
371.910242122878,4378.14759375,35.8974358974358%
372.125263917118,4302.37275,26.9230769230733%
372.340274096245,4249.94475,0%
372.555272658145,4259.775,63.4146341463387%
372.770259600706,4257.3174375,0%
372.985234921818,4261.82296875,7.69230769230244%
373.200198619368,4218.815625,100%
373.415150691244,4184.81934375,100%
373.630091135334,4177.44665625,0%
373.845019949526,4182.36178125,0%
374.059937131708,4192.19203125,0%
374.274842679768,4236.42815625,0%
374.489736591594,4315.07015625,0%
374.704618865074,4369.546125,0%
374.919489498096,4334.3210625,0%
375.134348488549,4253.63109375,68.1818181818177%
375.349195834319,4288.85615625,97.6190476190496%
375.564031533296,4282.71225,71.999999999997%
375.778855583367,4212.262125,0%
375.993667982421,4379.376375,10.2040816326538%
376.208468728344,4419.5165625,0%
376.423257819026,4401.08484375,0%
376.638035252354,4457.60878125,58.620689655172%
376.852801026216,4448.59771875,61.9565217391312%
377.067555138501,4371.1845,76.4705882352948%
377.282297587096,4458.8375625,100%
377.49702836989,4413.78225,66.6666666666601%
377.711747484769,4317.9373125,0%
377.926454929624,4419.5165625,57.142857142856%
378.14115070234,4494.47221875,85.4700854700843%
378.355834800808,4482.18440625,53.7037037037057%
378.570507222913,4574.343,76.3779527559044%
378.785167966545,4606.70090625,75.9036144578305%
378.999817029592,4523.96296875,9.43396226415482%
379.214454409941,4476.8596875,0%
379.429080105481,4441.634625,9.7902097902109%
379.643694114099,4418.697375,18.0952380952388%
379.858296433684,4529.2876875,9.94475138121576%
380.072887062124,4528.4685,0%
380.287465997306,4493.2434375,18.0412371134021%
380.502033237118,4517.8190625,50.8571428571428%
380.71658877945,4419.10696875,100%
380.931132622188,4308.92625,100%
381.145664763221,4333.09228125,100%
381.360185200437,4366.269375,100%
381.574693931723,4446.14015625,100%
381.789190954968,4539.1179375,100%
382.00367626806,4492.83384375,100%
382.218149868887,4495.29140625,100%
382.432611755336,4468.25821875,94.7154471544715%
382.647061925297,4383.4723125,73.9622641509434%
382.861500376656,4344.56090625,61.0108303249097%
383.075927107303,4413.37265625,49.832775919733%
383.290342115124,4296.22884375,18.6170212765967%
383.504745398008,4349.885625,38.9534883720926%
383.719136953843,4287.21778125,5.69948186528479%
383.933516780517,4287.21778125,0%
384.147884875918,4256.90784375,1.20481927710877%
384.362241237934,4358.0775,13.3064516129028%
384.576585864453,4351.93359375,5.97826086956507%
384.790918753363,4380.60515625,0%
385.005239902552,4354.80075,0%
385.219549309909,4430.9851875,0%
385.43384697332,4432.21396875,0%
385.648132890675,4360.5350625,0%
385.86240705986,4464.98146875,0%
386.076669478765,4480.955625,0%
386.290920145277,4423.6125,100%
386.505159057285,4442.04421875,0%
386.719386212675,4450.23609375,0%
386.933601609337,4370.3653125,0%
387.147805245158,4435.49071875,3.20512820512836%
387.361997118027,4433.85234375,49.0000000000003%
387.576177225831,4467.0294375,42.3076923076923%
387.790345566458,4449.0073125,70.3517587939701%
388.004502137796,4440.8154375,69.035532994923%
388.218646937734,4368.7269375,65.9420289855084%
388.432779964159,4404.36159375,59.7701149425284%
388.64690121496,4334.73065625,58.8235294117652%
388.861010688024,4373.6420625,31.2500000000003%
389.07510838124,4393.3025625,26.4248704663198%
389.289194292495,4369.546125,43.9189189189184%
389.503268419677,4335.54984375,28.3216783216794%
389.717330760675,4369.13653125,33.7278106508877%
389.931381313377,4372.822875,33.2474226804123%
390.14542007567,4348.24725,23.2375979112264%
390.359447045443,4475.63090625,23.2142857142849%
390.573462220584,4502.66409375,34.3465045592704%
390.78746559898,4465.3910625,34.9514563106793%
391.001457178519,4410.09590625,80.2752293577983%
391.215436957091,4435.49071875,77.7343750000003%
391.429404932582,4338.417,53.3568904593643%
391.64336110288,4242.5720625,59.6825396825401%
391.857305465875,4248.71596875,59.6446700507609%
392.071238019453,4282.71225,42.4561403508773%
392.285158761503,4231.1034375,61.4718614718614%
392.499067689913,4233.15140625,39.267015706806%
392.71296480257,4271.243625,26.8156424581003%
392.926850097364,4280.2546875,17.5355450236968%
393.140723572181,4277.797125,32.666666666666%
393.35458522491,4321.62365625,11.7216117216117%
