Layer Title, Color, Specimen ID
Layer 1, Blue, Untitled

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,650 ms,2,1

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.59109,1558.50421875,100%
345.807512991978,1603.55953125,0%
346.023924626503,2899.51415625,100%
346.240324901463,3604.83459375,100%
346.456713814747,4239.2953125,100%
346.673091364243,4781.18784375,100%
346.889457547838,4761.9369375,100%
347.10581236342,4748.8299375,0%
347.322155808879,4612.8448125,0%
347.5384878821,4566.9703125,0%
347.754808580973,4631.27653125,0%
347.971117903386,4657.49053125,0%
348.187415847227,4575.57178125,0%
348.403702410383,4587.04040625,100%
348.619977590742,4546.90021875,100%
348.836241386194,4573.93340625,100%
349.052493794625,4655.85215625,100%
349.268734813924,4667.32078125,100%
349.484964441978,4751.69709375,100%
349.701182676677,4823.78559375,100%
349.917389515907,4839.35015625,100%
350.133584957557,4748.8299375,100%
350.349768999515,4757.43140625,100%
350.565941639668,4797.57159375,100%
350.782102875906,4810.67859375,100%
350.998252706115,4823.376,100%
351.214391128184,4773.81515625,100%
351.430518140002,4747.1915625,100%
351.646633739455,4681.24696875,100%
351.862737924432,4976.15446875,100%
352.078830692821,4911.84825,100%
352.29491204251,5067.90346875,0%
352.510981971387,5181.77053125,0%
352.72704047734,5172.349875,0%
352.943087558258,4804.12509375,5.91715976331389%
353.159123212027,4840.16934375,0%
353.375147436536,4877.03278125,100%
353.591160229674,4792.246875,100%
353.807161589328,4813.54575,100%
354.023151513386,4967.553,100%
354.239129999736,5045.78540625,100%
354.455097046266,4903.24678125,100%
354.671052650865,4899.5604375,100%
354.886996811419,4816.41290625,100%
355.102929525818,4742.68603125,100%
355.31885079195,4666.092,100%
355.534760607701,4629.63815625,100%
355.750658970961,4659.94809375,100%
355.966545879618,4787.74134375,100%
356.182421331558,4834.844625,100%
356.398285324671,4852.45715625,100%
356.614137856845,4907.7523125,100%
356.829978925967,4945.4349375,100%
357.045808529925,4842.62690625,100%
357.261626666608,4759.479375,100%
357.477433333903,4791.01809375,100%
357.693228529699,4805.353875,100%
357.909012251883,4749.23953125,100%
358.124784498344,4806.1730625,100%
358.34054526697,4890.549375,82.6666666666692%
358.556294555648,4816.0033125,74.6153846153849%
358.772032362267,4892.59734375,100%
358.987758684714,4814.3649375,83.2335329341336%
359.203473520878,4864.335375,100%
359.419176868647,4852.0475625,100%
359.634868725908,4852.86675,100%
359.85054909055,4832.79665625,100%
360.066217960461,4953.6268125,100%
360.281875333528,4905.29475,100%
360.497521207641,4876.21359375,100%
360.713155580686,4934.37590625,100%
360.928778450552,4900.78921875,100%
361.144389815127,4885.63425,100%
361.359989672298,4971.6489375,100%
361.575578019955,4994.99578125,100%
361.791154855984,4985.16553125,100%
362.006720178275,4924.95525,100%
362.222273984714,4941.339,100%
362.43781627319,4859.82984375,100%
362.653347041591,4821.737625,100%
362.868866287805,4843.8556875,100%
363.084374009721,4836.07340625,100%
363.299870205225,4829.1103125,100%
363.515354872206,4771.35759375,100%
363.730828008553,4764.3945,62.7659574468095%
363.946289612152,4748.01075,31.2499999999983%
364.161739680893,4847.1324375,21.8487394957968%
364.377178212662,4824.1951875,34.7826086956509%
364.592605205349,4883.995875,100%
364.808020656841,4922.08809375,100%
365.023424565027,4879.49034375,100%
365.238816927793,4885.63425,100%
365.454197743029,4963.4570625,100%
365.669567008622,4927.00321875,100%
365.88492472246,4950.75965625,100%
366.100270882432,4939.700625,100%
366.315605486425,4923.72646875,100%
366.530928532327,4840.16934375,100%
366.746240018027,4847.1324375,100%
366.961539941412,4767.26165625,100%
367.17682830037,4791.4276875,92.3076923076929%
367.39210509279,4695.17315625,100%
367.607370316559,4712.7856875,100%
367.822623969566,4760.70815625,100%
368.037866049698,4856.9626875,100%
368.253096554844,4877.85196875,100%
368.468315482891,4878.67115625,100%
368.683522831728,4909.3906875,100%
368.898718599242,4859.42025,100%
369.113902783322,4786.92215625,100%
369.329075381855,4813.13615625,100%
369.544236392731,4817.23209375,100%
369.759385813835,4816.8225,100%
369.974523643058,4821.32803125,100%
370.189649878286,4776.6823125,100%
370.404764517408,4787.33175,100%
370.619867558311,4776.27271875,100%
370.834958998885,4733.265375,95.7142857142861%
371.050038837016,4817.6416875,100%
371.265107070593,4877.03278125,100%
371.480163697503,4828.70071875,100%
371.695208715636,4810.269,100%
371.910242122878,4820.50884375,100%
372.125263917118,4764.3945,100%
372.340274096245,4723.02553125,97.4683544303791%
372.555272658145,4677.15103125,88.6597938144322%
372.770259600706,4668.5495625,100%
372.985234921818,4659.12890625,100%
373.200198619368,4646.84109375,100%
373.415150691244,4600.557,0%
373.630091135334,4600.96659375,100%
373.845019949526,4686.16209375,100%
374.059937131708,4690.667625,100%
374.274842679768,4700.08828125,100%
374.489736591594,4805.76346875,100%
374.704618865074,4877.03278125,100%
374.919489498096,4824.60478125,100%
375.134348488549,4750.4683125,100%
375.349195834319,4743.9148125,100%
375.564031533296,4757.43140625,86.0103626943006%
375.778855583367,4705.00340625,89.237668161435%
375.993667982421,4810.269,91.3294797687857%
376.208468728344,4872.93684375,100%
376.423257819026,4888.911,100%
376.638035252354,4909.80028125,100%
376.852801026216,4902.42759375,100%
377.067555138501,4814.3649375,100%
377.282297587096,4852.0475625,74.1935483870959%
377.49702836989,4840.16934375,93.7219730941706%
377.711747484769,4728.35025,100%
377.926454929624,4804.94428125,100%
378.14115070234,4897.9220625,91.2162162162161%
378.355834800808,4889.32059375,83.3333333333336%
378.570507222913,4961.40909375,79.4117647058836%
378.785167966545,4978.61203125,53.53982300885%
378.999817029592,4897.9220625,40.8163265306116%
379.214454409941,4857.37228125,100%
379.429080105481,4800.43875,100%
379.643694114099,4781.5974375,100%
379.858296433684,4975.33528125,0%
380.072887062124,4994.17659375,0%
380.287465997306,4985.98471875,100%
380.502033237118,5029.40165625,100%
380.71658877945,4915.9441875,100%
380.931132622188,4752.51628125,100%
381.145664763221,4765.2136875,100%
381.360185200437,4764.3945,100%
381.574693931723,4884.8150625,100%
381.789190954968,4951.9884375,100%
382.00367626806,4889.32059375,100%
382.218149868887,4893.0069375,100%
382.432611755336,4866.7929375,100%
382.647061925297,4741.45725,64.9484536082481%
382.861500376656,4724.2543125,90.6666666666666%
383.075927107303,4833.20625,100%
383.290342115124,4800.84834375,100%
383.504745398008,4873.75603125,100%
383.719136953843,4832.79665625,100%
383.933516780517,4811.49778125,100%
384.147884875918,4749.649125,100%
384.362241237934,4802.8963125,100%
384.576585864453,4805.353875,100%
384.790918753363,4818.05128125,100%
385.005239902552,4793.47565625,100%
385.219549309909,4956.9035625,100%
385.43384697332,4906.1139375,100%
385.648132890675,4830.7486875,100%
385.86240705986,4947.8925,100%
386.076669478765,4981.4791875,100%
386.290920145277,4846.31325,100%
386.505159057285,4867.612125,95.0704225352107%
386.719386212675,4864.74496875,86.1445783132525%
386.933601609337,4751.69709375,76.9230769230779%
387.147805245158,4800.02915625,69.583333333334%
387.361997118027,4788.970125,87.7192982456127%
387.576177225831,4826.65275,100%
387.790345566458,4780.36865625,80.1104972375685%
388.004502137796,4812.31696875,100%
388.218646937734,4748.42034375,100%
388.432779964159,4822.14721875,100%
388.64690121496,4775.863125,100%
388.861010688024,4807.8114375,87.0229007633594%
389.07510838124,4791.4276875,62.1118012422366%
389.289194292495,4792.246875,69.7749196141474%
389.503268419677,4726.30228125,83.1932773109247%
389.717330760675,4780.36865625,84.9650349650344%
389.931381313377,4808.22103125,84.4000000000006%
390.14542007567,4823.78559375,86.9047619047624%
390.359447045443,4964.68584375,78.2258064516122%
390.573462220584,4994.5861875,90.4255319148933%
390.78746559898,4951.16925,79.4952681388021%
391.001457178519,4885.22465625,96.3815789473692%
391.215436957091,4889.32059375,100%
391.429404932582,4760.2985625,100%
391.64336110288,4636.19165625,88.6792452830197%
391.857305465875,4594.0035,68.4210526315785%
392.071238019453,4634.55328125,100%
392.285158761503,4574.343,97.9166666666684%
392.499067689913,4594.41309375,100%
392.71296480257,4646.02190625,100%
392.926850097364,4677.560625,100%
393.140723572181,4693.1251875,100%
393.35458522491,4738.9996875,100%
393.568435053439,4759.88896875,90.8045977011494%
393.782273055656,4856.55309375,100%
393.996099229449,4867.20253125,98.9323843416363%
394.209913572706,4913.07703125,100%
394.423716083314,4974.9256875,100%
394.637506759163,4979.43121875,100%
394.85128559814,4891.77815625,100%
395.065052598133,4931.09915625,100%
395.27880775703,4868.4313125,94.8497854077258%
395.492551072719,4786.5125625,80.3867403314921%
395.706282543088,4733.67496875,77.058823529412%
395.920002166025,4754.15465625,77.4074074074066%
396.133709939418,4728.75984375,67.6567656765676%
396.347405861155,4813.95534375,44.1666666666669%
396.561089929125,4847.951625,64.7482014388484%
396.774762141215,4864.74496875,52.8634361233476%
396.988422495313,4854.91471875,52.0161290322582%
397.202070989307,4824.60478125,67.0995670995677%
397.415707621085,4750.87790625,68.9024390243904%
397.629332388536,4752.1066875,69.8051948051955%
397.842945289547,4732.4461875,90.3614457831314%
398.056546322006,4757.0218125,81.2765957446805%
